customer_id,customer_name,sub_segment,loyalty_status,tenure_years,years_active_in_window,consistency_rate,revenue_5yr,revenue_2020,revenue_2021,revenue_2022,revenue_2023,revenue_2024,ineligibility_reason,analysis_timestamp
1000734,"Wayfair, LLC",MARKETPLACE,Loyal,5,5,1,28527100.16,5520217.02,7458668.89,5717772.53,4890433.4,4940008.32,,2/17/2026 18:35
1003922,Home Goods DI,UNKNOWN,Loyal,5,5,1,11594138.65,1001409.4,1280530.1,1555433.85,4027745.7,3729019.6,,2/17/2026 18:35
1003738,Overstock.Com,MARKETPLACE,Loyal,5,5,1,10937909.63,3415215.63,3460325.09,1598435.66,1389216.47,1074716.78,,2/17/2026 18:35
1000067,Home Goods,NAT_RET (STOCK),Loyal,4,5,1,10135537.41,995143.27,2077865.9,2629858.74,2321087.26,2111582.24,,2/17/2026 18:35
1003732,Rugsdirect.com,ECOMM PURE PLAY,Loyal,5,5,1,7708882.53,644851.6,1046289.47,1732573.03,2076522.58,2208645.85,,2/17/2026 18:35
1003800,Lulu and Georgia,ECOMM PURE PLAY,Loyal,5,5,1,3095794.66,524825.07,595474.62,592808.17,693240.41,689446.39,,2/17/2026 18:35
1013801,"Wayfair, LLC - CASTLEGATE",OMNI-CHNL CONSIGN,Loyal,5,5,1,2915305.62,774770.47,511057.16,492928.24,803790.46,332759.29,,2/17/2026 18:35
1014885,Mitchell Gold + Bob Williams - DTC,NATIONAL,Loyal,22,4,0.8,2905516.75,365155.5,856314,1088087.09,595960.16,0,,2/17/2026 18:35
1003769,Burkedecor.Com,ECOMM PURE PLAY,Loyal,5,5,1,2308858.01,609177.8,535422,713950.69,432443.12,17864.4,,2/17/2026 18:35
1002188,"Pottery Barn, Inc",OMNI-CHANNEL,Loyal,4,5,1,1706386.03,110603.75,345874.3,513709.5,434107.01,302091.47,,2/17/2026 18:35
1007839,Homedepot.com,OMNI-CHANNEL,Loyal,4,5,1,1666881.35,151122.05,333348.25,391998.97,398809.85,391602.23,,2/17/2026 18:35
1015316,Arhaus LLC,NAT_RET (STOCK),Loyal,4,5,1,1663358.1,15017.25,732910.25,624816.5,264964.1,25650,,2/17/2026 18:35
1000721,Baer's Furniture Company Inc.,M_LOC RET (SW/SAMP),Loyal,5,5,1,1630343.7,305075,396560.8,361672.29,326250,240785.61,,2/17/2026 18:35
1000429,Tuesday Morning,OFF-PRICE,Loyal,5,4,0.8,1623359.01,944334.37,364535.64,245603,68886,0,,2/17/2026 18:35
1014406,Summer Classics WJ,UNKNOWN,Loyal,5,5,1,1503027.53,378606.71,456368.76,176604.74,232077.25,259370.07,,2/17/2026 18:35
1012814,Incredible Rugs and Decor,SINGLE_LOCATION,Loyal,4,5,1,1482073.15,105079.1,311213.7,375040.87,347268.89,343470.59,,2/17/2026 18:35
1000084,Furniture Land South,NAT_RET (STOCK),Loyal,5,5,1,1436713.45,208052.69,299734.3,288999,288956.66,350970.8,,2/17/2026 18:35
1012587,Mathis Brothers Furniture - OKC,NAT_RET (STOCK),Loyal,5,5,1,1403434.52,279375.65,339360,209193,383357.65,192148.22,,2/17/2026 18:35
1012850,"Lowe's Home Centers, LLC",OMNI-CHANNEL,Loyal,4,5,1,1364201.48,65756,149397,226938.65,461703.03,460406.8,,2/17/2026 18:35
1003794,Amazon.Com (Dropship),MARKETPLACE,Loyal,4,5,1,1294598.31,190012,254464.94,175936.38,168522.36,505662.63,,2/17/2026 18:35
1006742,Stock and Trade Design Co,M_LOC RET (SW/SAMP),Loyal,5,5,1,1287398.71,163337.6,295381.1,434643.8,217339.43,176696.78,,2/17/2026 18:35
1005627,"West Elm, Inc.",OMNI-CHANNEL,Loyal,4,4,0.8,1189476.86,0,317889,373409,264991.5,233187.36,,2/17/2026 18:35
1004228,Rug Studio,OMNI-CHANNEL,Loyal,5,5,1,1188381.6,271187.1,286345.13,182133.52,199083.75,249632.1,,2/17/2026 18:35
1003912,Tuesday Morning DI,OFF-PRICE,Loyal,4,3,0.6,1133260.52,44001,1002978.72,86280.8,0,0,,2/17/2026 18:35
1008800,"Houzz, Inc.",MARKETPLACE,Loyal,4,5,1,1120128.71,258392.79,298925.25,237281.4,230108.01,95421.26,,2/17/2026 18:35
1004752,Designs in Rugs-Hanteri Enterprises,S_LOC RET (SW/SAMP),Loyal,5,5,1,1066044.39,236626.8,266884.87,231198.12,199698.39,131636.21,,2/17/2026 18:35
1011554,McGee & Co Partners,NO SHOWROOM,Loyal,5,5,1,995490,263914,393202,224882,78404,35088,,2/17/2026 18:35
1011216,Cantoni LP,M_LOC RET (STOCK),Loyal,5,5,1,953927.51,61061.5,133152.66,150768.64,283737,325207.71,,2/17/2026 18:35
1011419,J Allans LLC,M_LOC RET (STOCK),Loyal,4,5,1,931744.08,86967.1,220654.73,258901.05,256699.6,108521.6,,2/17/2026 18:35
1003747,Payless Rugs,ECOMM PURE PLAY,Loyal,5,5,1,915501.34,232254.1,262482.1,161283.64,133780.3,125701.2,,2/17/2026 18:35
1006844,American Factory Direct,M_LOC RET (STOCK),Loyal,5,5,1,815749.9,116364.6,226493.5,176687.1,182631.2,113573.5,,2/17/2026 18:35
1001715,Mitchell Gold + Bob Williams - DI,NATIONAL,Loyal,5,4,0.8,735784.59,325703.59,150631.5,253849.5,5600,0,,2/17/2026 18:35
1008030,Canadian Heritage Designs,MULTIPLE_LOCATIONS,Loyal,5,5,1,720197.07,55292.3,148454.25,137933.8,158069.9,220446.82,,2/17/2026 18:35
1009864,"QVC, Inc.",UNKNOWN,Loyal,5,4,0.8,717762.94,381713.8,97394,213821.14,24834,0,,2/17/2026 18:35
1007883,"HW Home, Inc.",M_LOC RET (STOCK),Loyal,4,5,1,711003.52,119149.22,91809.6,172834.08,183616.27,143594.35,,2/17/2026 18:35
1011232,Nancy Hefner Interiors,NO SHOWROOM,Loyal,5,5,1,687460.96,31659.5,71949.4,155713.06,233537.28,194601.72,,2/17/2026 18:35
1001654,Montgomery's Furniture Gallery,M_LOC RET (STOCK),Loyal,5,5,1,664845.89,111947.7,221072.16,137242.15,91941.98,102641.9,,2/17/2026 18:35
1009866,Kathykuohome.com,ECOMM PURE PLAY,Loyal,5,5,1,660699.56,59202.03,192437.35,195923.79,115126.44,98009.95,,2/17/2026 18:35
1000127,Outrageous Interiors,M_LOC RET (STOCK),Loyal,5,5,1,652775.88,96308.7,115419.3,167703.4,131362.88,141981.6,,2/17/2026 18:35
1009837,Tribus Design Studio LLC,TRADE SHOWROOM,Loyal,5,5,1,646749.95,54489.5,95347.5,177604.8,173042.84,146265.31,,2/17/2026 18:35
1001735,Ambienti Design,SINGLE_LOCATION,Loyal,5,5,1,630989.71,109353.8,125702.2,136659.1,152208.5,107066.11,,2/17/2026 18:35
1003911,Crate And Barrel  Cross Dock,UNKNOWN,Loyal,5,4,0.8,612580,249847,220944,132359,9430,0,,2/17/2026 18:35
1000888,Designer's Resource Collection,TRADE SHOWROOM,Loyal,5,5,1,610668.48,76911.45,140854.51,160045.49,122515.58,110341.45,,2/17/2026 18:35
1000198,Oriental Rug Gallery Of Texas,M_LOC RET (STOCK),Loyal,5,5,1,604050.84,98569.35,123228.7,124019.76,150647.35,107585.68,,2/17/2026 18:35
1005984,Dallas Rugs,TRADE SHOWROOM,Loyal,5,5,1,599145.35,62976.9,70705.5,167412.6,173766.57,124283.78,,2/17/2026 18:35
1015795,Overstock.com - SOFS Programs,ECOMM PURE PLAY,Loyal,4,5,1,595954.99,59765.62,359509.6,112651.42,46814.05,17214.3,,2/17/2026 18:35
1002843,Shrawder (FL),S_LOC RET (STOCK),Loyal,5,5,1,594261.22,106052,245236.22,133485,68816,40672,,2/17/2026 18:35
1004253,VDRC,TRADE SHOWROOM,Loyal,5,5,1,560462.22,64714.9,79582.05,147190.5,115584.6,153390.17,,2/17/2026 18:35
1009513,"Kravet, Inc.",NAT_RET (STOCK),Loyal,5,5,1,537067.71,130972.18,101863.15,87250.49,111466.96,105514.93,,2/17/2026 18:35
1005889,"Havenly, Inc.",ECOMM PURE PLAY,Loyal,5,5,1,534109.71,68549.66,89517.29,146935.27,112819.19,116288.3,,2/17/2026 18:35
1003541,Hillsdale Home-Alder and Tweed,NO SHOWROOM,Loyal,4,5,1,528959.24,86572.3,122936,160997.15,73336,85117.79,,2/17/2026 18:35
1013466,JFY Designs,S_LOC RET (SW/SAMP),Loyal,5,5,1,522008.25,45496.5,97686,125335.25,123206.5,130284,,2/17/2026 18:35
1013609,"Miskelly Furniture Warehouse, Inc.",M_LOC RET (STOCK),Loyal,5,5,1,520003.45,100935.2,180494,112436,87493,38645.25,,2/17/2026 18:35
1000431,Nebraska Furniture Mart,NAT_RET (STOCK),Loyal,5,5,1,517756.45,5306.55,3711.53,141838.98,219645.55,147253.84,,2/17/2026 18:35
1011336,"LeClair Decor, Inc.",SINGLE_LOCATION,Loyal,5,5,1,504571.5,98271,178116.5,171644,56115,425,,2/17/2026 18:35
1003493,Casa Y Estilo Sociedad Anonima DI,UNKNOWN,Loyal,5,4,0.8,491068.57,148396.59,51256,147087.64,0,144328.34,,2/17/2026 18:35
1000248,Island Imports Dba Vineyard Decorators,S_LOC RET (SW/SAMP),Loyal,5,5,1,481470.29,60436.12,104031.8,119403.3,85755.26,111843.81,,2/17/2026 18:35
1003952,Cost Plus World Market,OMNI-CHANNEL,Loyal,5,5,1,476155.38,259525,121627,59599.3,25184.58,10219.5,,2/17/2026 18:35
1008673,Alice Lane Home Collection,S_LOC RET (STOCK),Loyal,4,5,1,473134.86,28218,98176.6,131069.88,143156.08,72514.3,,2/17/2026 18:35
1001164,Floor Styles Inc (AZ),TRADE SHOWROOM,Loyal,5,5,1,448684.73,22848,60198,96259.33,88062.5,181316.9,,2/17/2026 18:35
1008363,Warren Barnett Interiors,S_LOC RET (SW/SAMP),Loyal,5,5,1,445101.25,83974.5,99865,119032.25,45922,96307.5,,2/17/2026 18:35
1000122,Designers Carpet and Rug Source,TRADE SHOWROOM,Loyal,5,5,1,429918.57,42567.3,89654.5,97240.8,89678.1,110777.87,,2/17/2026 18:35
1000884,Matter Bros. Furniture,M_LOC RET (STOCK),Loyal,5,5,1,426360,42594,71785,54707.9,123432.7,133840.4,,2/17/2026 18:35
1007664,Target Corporation,OMNI-CHANNEL,Loyal,5,5,1,400499.61,26071.5,86402,93260.74,108307.19,86458.18,,2/17/2026 18:35
1002827,Four Corners Home,M_LOC RET (STOCK),Loyal,5,5,1,385304.58,43465.5,66562.25,99597.72,97275.31,78403.8,,2/17/2026 18:35
1012464,"Verde Home, Inc.",SINGLE_LOCATION,Loyal,4,5,1,384723.26,32715.5,68195,128709.5,108568.4,46534.86,,2/17/2026 18:35
1001889,One Kings Lane,MARKETPLACE,Loyal,5,5,1,382419.19,145261.23,119981.45,54117.23,39396.2,23663.08,,2/17/2026 18:35
1003737,Shades Of Light,SINGLE_LOCATION,Loyal,5,5,1,378771.2,81223,114502.6,91562.7,52097.3,39385.6,,2/17/2026 18:35
1011466,MAK and Co.,M_LOC RET (STOCK),Loyal,5,5,1,368282.58,49849.5,79106.5,100682.64,55368.81,83275.13,,2/17/2026 18:35
1007535,"Once a Tree Furniture, Ltd.",SINGLE_LOCATION,Loyal,5,5,1,368210.08,48710,82452,80618.5,81227.56,75202.02,,2/17/2026 18:35
1012604,"Hislop Windows and Doors, Ltd",OTH NORTH AMERICA,Loyal,4,5,1,367184.14,4267,109348,97627.24,67894,88047.9,,2/17/2026 18:35
1010304,Coco Interior Design,DESIGN_FIRM,Loyal,5,5,1,363137.66,24384.55,79016,69265.65,58170.46,132301,,2/17/2026 18:35
1003198,Carol House Furniture Inc,S_LOC RET (SW/SAMP),Loyal,5,5,1,362803.75,61643.3,81797.2,59545.1,90351.08,69467.07,,2/17/2026 18:35
1002917,La Z Boy Furniture Galleries-Boomco,MULTIPLE_LOCATIONS,Loyal,5,5,1,361831.2,65479.6,66132,85602.3,66395.1,78222.2,,2/17/2026 18:35
1005049,Bassett Furniture,NAT_RET (STOCK),Loyal,5,5,1,361033.12,39884.86,53953.23,92205.55,86691.3,88298.18,,2/17/2026 18:35
1001361,"Bed, Bath and Beyond",MARKETPLACE,Loyal,4,3,0.6,355387.22,141503.47,155237.2,58646.55,0,0,,2/17/2026 18:35
1012064,Ambiance Home,TRADE SHOWROOM,Loyal,4,5,1,353471.7,58252.8,83885.75,52227.5,44292.2,114813.45,,2/17/2026 18:35
1003316,Bartholet Home Furnishings,S_LOC RET (SW/SAMP),Loyal,4,5,1,352229.8,34193,98850,50831.5,99349,69006.3,,2/17/2026 18:35
1006347,"McMillin Interiors, Ltd.",M_LOC RET (STOCK),Loyal,4,5,1,347913.06,49604.83,65329.87,103501.88,72211,57265.48,,2/17/2026 18:35
1010560,Glass House dba K Rocke Design,NO SHOWROOM,Loyal,5,5,1,343170.45,69691,63042.79,109981.78,47241.6,53213.28,,2/17/2026 18:35
1016593,Not Too Shabby LLC,S_LOC RET (STOCK),Loyal,4,5,1,340386.62,30406,75250.5,106953,65921.36,61855.76,,2/17/2026 18:35
1012854,LAUREN COLLANDER INTERIORS,NO SHOWROOM,Loyal,5,5,1,338809.04,18917.6,50944.5,112383.32,79563.54,77000.08,,2/17/2026 18:35
1017394,Thingz,M_LOC RET (STOCK),Loyal,4,5,1,337154.7,265,16612,35691,122723,161863.7,,2/17/2026 18:35
1009481,Park and Oak,S_LOC RET (SW/SAMP),Loyal,5,5,1,337045.06,28964,113630.09,70748.87,62384.22,61317.88,,2/17/2026 18:35
1017327,Gulf Coast Home,S_LOC RET (STOCK),Loyal,4,5,1,335255.91,5736,70438.9,104574.13,76921.6,77585.28,,2/17/2026 18:35
